00015250E9EBA5F5BB7F8683A453DD3234385440F11BA7428D87FF679D7BC450 Tempo decorrido da Análise do VT = 1.85 segundos, CPU = 2%, Memoria = 13300 KiB
000156406C2FF5FDB2B8455C759F3EAD345A62BF847AF1732759673C5AB14EC9 Tempo decorrido da Análise do VT = 0.96 segundos, CPU = 3%, Memoria = 13544 KiB
0001605A9CCEA2039E2C037E937A1CBB5FFFE7181AEA3B2CF7AECE709EA04CB6 Tempo decorrido da Análise do VT = 1.24 segundos, CPU = 1%, Memoria = 13600 KiB
00016E5FB49D5BEE6DAD8319AB4DE637FE0A5371A57257312FA325085F24E7AF Tempo decorrido da Análise do VT = 0.84 segundos, CPU = 4%, Memoria = 13476 KiB
000175FC4B21200DD8042E747B8095662934FEA215F05C85FD3558F52766AAAC Tempo decorrido da Análise do VT = 1.28 segundos, CPU = 2%, Memoria = 13600 KiB
00017B556E3D8C34719A741D52507053246D2E3AF96A1A62649B65ACE1FB3D1D Tempo decorrido da Análise do VT = 0.96 segundos, CPU = 3%, Memoria = 13560 KiB
0001846947C1A3E12F86278E53EFAAD03EECCF8F72D08FC40811261A500EE565 Tempo decorrido da Análise do VT = 1.04 segundos, CPU = 3%, Memoria = 13672 KiB
000186F14A4B204F0F40627EA5480004C939AC80D8BAA203A510E55BD6FE5C78 Tempo decorrido da Análise do VT = 1.63 segundos, CPU = 2%, Memoria = 13492 KiB
0001893E433A097FDD8F04B0AA5189DADBA2E4239F9CF7047DFEB58BC7CCE69C Tempo decorrido da Análise do VT = 0.93 segundos, CPU = 3%, Memoria = 13344 KiB
00018985A75FF483A681B6600CF8A86F0AC3FC45B75842B15C3527AD0676B95B Tempo decorrido da Análise do VT = 1.41 segundos, CPU = 3%, Memoria = 13600 KiB
00019594C817CBD56F7BDA7A91674037E2C06A20AE09BC72020B0FF28B48FF97 Tempo decorrido da Análise do VT = 0.89 segundos, CPU = 2%, Memoria = 13540 KiB
000197262EE5F0A319A85F2AA8F8D38B24F4A9F1E3BE73A49027A615CD677B49 Tempo decorrido da Análise do VT = 1.08 segundos, CPU = 3%, Memoria = 13396 KiB
00019A590B24449C7EA368B25D3143481311E4DE70CEF5D3B46B5C1809FD677C Tempo decorrido da Análise do VT = 1.13 segundos, CPU = 2%, Memoria = 13576 KiB
00019EF7ADA4B4F1AAFA1F1A9200FE8F2057E5825939CC819324896BEBEBAEBC Tempo decorrido da Análise do VT = 1.06 segundos, CPU = 3%, Memoria = 13380 KiB
0001A12571D3BE26FC87FC800E5629C4E3952A1E76A0EA1DA5EA8796577799C0 Tempo decorrido da Análise do VT = 1.36 segundos, CPU = 1%, Memoria = 13520 KiB
0001A65824846F752754EA93DF0AF3ECB4387E98D64E3A1A329FB62A6D53371F Tempo decorrido da Análise do VT = 0.91 segundos, CPU = 2%, Memoria = 13588 KiB
0001B6F6623F676D6D24C4638C16A55CBB1BD01ECF2B0FE5407FFA04BB993526 Tempo decorrido da Análise do VT = 1.06 segundos, CPU = 2%, Memoria = 13544 KiB
0001B8C9FC8AB706BA909E4B73F83CDC42C21E0CF19A6AAC786B2EBF258FDEBC Tempo decorrido da Análise do VT = 1.10 segundos, CPU = 3%, Memoria = 13616 KiB
0001BABD25F3A77FB3CD9891BFA9580055C0ACE51795ADA8124DB7CF057BA397 Tempo decorrido da Análise do VT = 0.96 segundos, CPU = 3%, Memoria = 13604 KiB
0001BD6364E4C1AD5065E77B0AEF6062942FCE1F33CE6E99259C6948DB5024C1 Tempo decorrido da Análise do VT = 0.93 segundos, CPU = 4%, Memoria = 13560 KiB
